Entidad_Federativa,Población,Var_incidencia_del,Var_edo_fza,Academias,Asignacion_2025
Aguascalientes,1567559,-0.052055457,0,70,17346435
Baja California,4189285,-0.206980427,0,170,31213337
Baja California Sur,921734,-0.023542584,0,50,15386517
Campeche,962014,-0.193968071,0,100,15590662
Coahuila,3440385,-0.007935158,0,170,29395534
Colima,771538,-0.043938212,0,50,28411222
Chiapas,6185469,-0.009797155,0,50,44183005
Chihuahua,4087306,-0.029824045,0,150,33623684
Ciudad de México,9159966,-0.025513195,0,200,67962566
Durango,1939482,-0.014436844,0,90,30804419
Guanajuato,6590749,0.018055611,0,290,48417774
Guerrero,3606296,-0.013587348,0,70,30543648
Hidalgo,3334060,-0.004978915,0,50,27521580
Jalisco,8982027,-0.053005853,0,220,67401379
México,17822420,-0.085050178,0,360,124182445
Michoacán,5089383,-0.00815423,0,70,37163506
Morelos,2067472,-0.099590224,0,100,19282136
Nayarit,1338499,-0.014045584,0,0,15167816
Nuevo León,6516202,-0.022820041,0,390,51609692
Oaxaca,4368997,-0.020164811,0,50,34706027
Puebla,7149139,-0.01695309,0,150,48366745
Querétaro,2700978,-0.055017109,0,200,21854337
Quintana Roo,2141082,-0.050535197,0,70,17583680
San Luis Potosí,3002651,-0.027875367,0,110,31242664
Sinaloa,3208039,0.170945553,0,50,26362979
Sonora,3168624,0.011803231,0,70,27190900
Tabasco,2472668,0.014761383,0,50,26309236
Tamaulipas,3777472,-0.025360876,0,50,30516896
Tlaxcala,1464515,-0.046841446,0,50,14616491
Veracruz,8111813,-0.01785051,0,150,67165806
Yucatán,2542536,0.002831818,0,70,21524335
Zacatecas,1726898,-0.049337019,0,20,18271507
